"","ni_store","","","",""
"1",1,4.49780764946854,10.2630623306546,14.7632487305434,23.5471392376714
"2",1,5.11697127051084,10.6372601752341,13.2546279458523,22.8581308435663
"3",1,4.17474057413723,9.28027573720907,15.2696584313326,20.3850978411405
"4",1,4.79836604781664,11.4796809997569,15.3701385032666,19.8827331630826
"5",1,4.6111457530965,11.0217125147399,12.2585574438924,29.2411872911162
"6",3,11.9311849340608,79.1524386913839,17.0672142376202,8.07105464351902
"7",3,10.9470411556511,62.6394803415318,13.8814962039899,7.3127109748356
"8",3,10.0490452817237,72.0531737020732,15.9220130812316,9.44661801852663
"9",3,12.7162220922524,67.133394821874,13.9794735989867,6.67979512279605
"10",3,13.5553375260159,74.3910201193374,19.6731817701464,8.34617181371468
"11",5,41.8786516867424,35.1990386069938,2.39529611567548,15.7358450654589
"12",5,38.2822666990004,34.7539246393034,3.44559736097831,17.6841871894096
"13",5,43.121820915904,17.1583352475521,3.38345489677598,9.12717904056086
"14",5,44.2767376514914,37.9160465388441,2.02733211875761,16.7365955059586
"15",5,30.7882630818138,37.5169941627281,4.74217687540164,11.6451585349133
"16",7,15.7222598826568,9.78831091743769,2.79243404819477,47.4057968771705
"17",7,17.0224806952339,8.50961612801238,3.40690984095455,32.5233013473791
"18",7,16.3596407461833,9.74137407191247,3.29264653061436,24.6074078526011
"19",7,12.7343577309186,13.1972702481603,1.77530759206795,31.3419523019603
"20",7,12.9828706662581,10.4619848885803,3.6307688397629,18.2921294201948
"21",9,10.28698189696,20.1957904804701,4.82399470872733,12.0043135455802
"22",9,9.96034129593321,19.7555256231046,6.88539976984061,22.756028689314
"23",9,11.7355300897152,19.9763928798218,5.86442327356498,25.1458667788583
"24",9,7.1647187090558,15.6769332947925,5.89983231848017,29.1256016452126
"25",9,7.27019372563242,22.0869129559989,5.04398747661198,14.9661949293383
"26",11,15.6780740042919,42.9178673855443,5.62291783218256,15.5584629095941
"27",11,11.8986339239247,31.0239718524361,5.24158703491363,12.3306797902706
"28",11,20.962323917031,32.9993328203808,6.41933658951963,13.9920005291739
"29",11,14.7320621328773,24.0841952589043,5.79439312094982,13.655913522147
"30",11,20.2166233177778,32.0001603781547,5.82968105487956,17.6149905209207
"31",13,18.7011357692674,21.6389818426974,3.34761034797143,20.710037598073
"32",13,15.2870678746513,17.8778862766356,3.57817684036496,22.9757799632642
"33",13,20.0469571749877,21.1358862571486,3.4735630907339,15.8703977659048
"34",13,25.1737835608155,18.111483889213,4.81227186885023,20.8172613629038
"35",13,21.456942066207,21.7648359854254,3.75983473092909,20.8671703478889
"36",15,12.941982232571,9.13783759960851,4.356579224986,25.9541062887964
"37",15,11.3257494361959,12.4018915603799,3.85461368352291,20.5608338943596
"38",15,15.2741815779434,16.3837883441488,5.09821554118066,30.5095826795839
"39",15,14.0425984950826,15.8784440096061,4.43550639202286,21.381575939837
"40",15,13.7736811297215,15.6401312663276,4.44719861625019,23.5647661581803
"41",18,14.0830821569203,25.67696618922,5.31578709901965,19.0626144053523
"42",18,14.8201541829916,22.1808718744062,5.23287916664207,14.1771101674926
"43",18,15.3997433100674,29.6731384292902,6.20787774500553,17.110959672289
"44",18,14.5306371199486,26.846622365142,5.45090688990381,9.73135237562435
"45",18,15.8609980612713,23.4862293810502,6.90915895686866,23.5823647463491
"46",26,11.8461690823942,25.3943611830475,5.08211060497263,15.8875460475337
"47",26,17.7056553043574,25.9320055385317,4.86666955988822,16.6985923824337
"48",26,12.3310311044511,19.8761240272833,4.72800484084377,16.8561081729048
"49",26,18.7568224073403,21.5063177487899,6.83888038648346,16.2201723448417
"50",26,20.7152393921087,23.4502963487876,3.882530524355,19.7940268282706
"51",30,15.4188928881482,18.7243936603768,5.46378004467107,21.3275200014659
"52",30,18.4548244783521,16.0436427636281,4.14345061129506,15.4247517019782
"53",30,6.06917459229853,21.5030471393933,5.82589428699755,21.9386557153726
"54",30,11.2539534396912,16.7328031047461,2.99782036033525,24.1055874729641
"55",30,14.3070672674948,16.2620342981365,5.48874715797486,18.3607272274843
